Date,Price,Open,High,Low,Vol.,Change ,RSI,Date2
7/18/2010,0,0,0.1,0.1,0.08,0.00%,,7/18/2010
7/19/2010,0,0.1,0.1,0.1,0.57,0.00%,,7/19/2010
7/20/2010,0,0.1,0.1,0.1,0.26,0.00%,,7/20/2010
7/21/2010,0,0.1,0.1,0.1,0.58,0.00%,,7/21/2010
7/22/2010,0,0.1,0.1,0.1,2.16,0.00%,,7/22/2010
7/23/2010,0,0.1,0.1,0.1,2.4,0.00%,,7/23/2010
7/24/2010,0,0.1,0.1,0.1,0.5,0.00%,,7/24/2010
7/25/2010,0,0.1,0.1,0.1,1.55,0.00%,,7/25/2010
7/26/2010,0,0.1,0.1,0.1,0.88,0.00%,,7/26/2010
7/27/2010,0,0.1,0.1,0.1,3.37,0.00%,,7/27/2010
7/28/2010,0,0.1,0.1,0.1,4.39,0.00%,,7/28/2010
7/29/2010,0,0.1,0.1,0.1,8.06,0.00%,,7/29/2010
7/30/2010,0,0.1,0.1,0.1,3.02,0.00%,,7/30/2010
7/31/2010,0,0.1,0.1,0.1,4.02,0.00%,,7/31/2010
8/1/2010,0,0.1,0.1,0.1,2.6,0.00%,,8/1/2010
8/2/2010,0,0.1,0.1,0.1,3.6,0.00%,,8/2/2010
8/3/2010,0,0.1,0.1,0.1,9.82,0.00%,,8/3/2010
8/4/2010,0,0.1,0.1,0.1,3.49,0.00%,,8/4/2010
8/5/2010,0,0.1,0.1,0.1,5.03,0.00%,,8/5/2010
8/6/2010,0,0.1,0.1,0.1,1.4,0.00%,,8/6/2010
8/7/2010,0,0.1,0.1,0.1,2.62,0.00%,,8/7/2010
8/8/2010,0,0.1,0.1,0.1,2.2,0.00%,,8/8/2010
8/9/2010,0,0.1,0.1,0.1,13.63,0.00%,,8/9/2010
8/10/2010,0,0.1,0.1,0.1,1.31,0.00%,,8/10/2010
8/11/2010,0,0.1,0.1,0.1,14.06,0.00%,,8/11/2010
8/12/2010,0,0.1,0.1,0.1,2.06,0.00%,,8/12/2010
8/13/2010,0,0.1,0.1,0.1,3.59,0.00%,,8/13/2010
8/14/2010,0,0.1,0.1,0.1,4.4,0.00%,,8/14/2010
8/15/2010,0,0.1,0.1,0.1,4.46,0.00%,,8/15/2010
8/16/2010,0,0.1,0.1,0.1,10.73,0.00%,,8/16/2010
8/17/2010,0,0.1,0.1,0.1,13.19,0.00%,,8/17/2010
8/18/2010,0,0.1,0.1,0.1,2.95,0.00%,,8/18/2010
8/19/2010,0,0.1,0.1,0.1,0.74,0.00%,,8/19/2010
8/20/2010,0,0.1,0.1,0.1,4.2,0.00%,,8/20/2010
8/21/2010,0,0.1,0.1,0.1,10.44,0.00%,,8/21/2010
8/22/2010,0,0.1,0.1,0.1,18.65,0.00%,,8/22/2010
8/23/2010,0,0.1,0.1,0.1,4.3,0.00%,,8/23/2010
8/24/2010,0,0.1,0.1,0.1,6.71,0.00%,,8/24/2010
8/25/2010,0,0.1,0.1,0.1,4.23,0.00%,,8/25/2010
8/26/2010,0,0.1,0.1,0.1,3.87,0.00%,,8/26/2010
8/27/2010,0,0.1,0.1,0.1,9.01,0.00%,,8/27/2010
8/28/2010,0,0.1,0.1,0.1,6.17,0.00%,,8/28/2010
8/29/2010,0,0.1,0.1,0.1,3.17,0.00%,,8/29/2010
8/30/2010,0,0.1,0.1,0,34.19,0.00%,,8/30/2010
8/31/2010,0,0.1,0.1,0.1,14.89,0.00%,,8/31/2010
9/1/2010,0,0.1,0.1,0.1,7.17,0.00%,,9/1/2010
9/2/2010,0,0.1,0.1,0.1,8.15,0.00%,,9/2/2010
9/3/2010,0,0.1,0.1,0.1,0.89,0.00%,,9/3/2010
9/4/2010,0,0.1,0.1,0.1,3.3,0.00%,,9/4/2010
9/5/2010,0,0.1,0.1,0.1,8.46,0.00%,,9/5/2010
9/6/2010,0,0.1,0.1,0.1,0.91,0.00%,,9/6/2010
9/7/2010,0,0.1,0.1,0.1,3.46,0.00%,,9/7/2010
9/8/2010,0,0.1,0.1,0.1,2.35,0.00%,,9/8/2010
9/9/2010,0,0.1,0.1,0.1,1.73,0.00%,,9/9/2010
9/10/2010,0,0.1,0.1,0.1,4.94,0.00%,,9/10/2010
9/11/2010,0,0.1,0.1,0.1,7.75,0.00%,,9/11/2010
9/12/2010,0,0.1,0.1,0.1,0.79,0.00%,,9/12/2010
9/13/2010,0,0.1,0.1,0.1,10.08,0.00%,,9/13/2010
9/14/2010,0,0.1,0.2,0.1,14.02,0.00%,,9/14/2010
9/15/2010,0,0.1,0.1,0.1,3.65,0.00%,,9/15/2010
9/16/2010,0,0.1,0.1,0.1,0.73,0.00%,,9/16/2010
9/17/2010,0,0.1,0.1,0.1,7.26,0.00%,,9/17/2010
9/18/2010,0,0.1,0.1,0.1,7.09,0.00%,,9/18/2010
9/19/2010,0,0.1,0.1,0.1,12.85,0.00%,,9/19/2010
9/20/2010,0,0.1,0.1,0.1,14.31,0.00%,,9/20/2010
9/21/2010,0,0.1,0.1,0.1,5.74,0.00%,,9/21/2010
9/22/2010,0,0.1,0.1,0.1,11.56,0.00%,,9/22/2010
9/23/2010,0,0.1,0.1,0.1,15.51,0.00%,,9/23/2010
9/24/2010,0,0.1,0.1,0.1,0.68,0.00%,,9/24/2010
9/25/2010,0,0.1,0.1,0.1,2.15,0.00%,,9/25/2010
9/26/2010,0,0.1,0.1,0.1,12.06,0.00%,,9/26/2010
9/27/2010,0,0.1,0.1,0.1,10.75,0.00%,,9/27/2010
9/28/2010,0,0.1,0.1,0.1,7.09,0.00%,,9/28/2010
9/29/2010,0,0.1,0.1,0.1,23.48,0.00%,,9/29/2010
9/30/2010,0,0.1,0.1,0.1,7.92,0.00%,,9/30/2010
10/1/2010,0,0.1,0.1,0.1,1.72,0.00%,,10/1/2010
10/2/2010,0,0.1,0.1,0.1,13.06,0.00%,,10/2/2010
10/3/2010,0,0.1,0.1,0.1,7.17,0.00%,,10/3/2010
10/4/2010,0,0.1,0.1,0.1,34,0.00%,,10/4/2010
10/5/2010,0,0.1,0.1,0.1,27.53,0.00%,,10/5/2010
10/6/2010,0,0.1,0.1,0.1,33.43,0.00%,,10/6/2010
10/7/2010,0,0.1,0.1,0.1,43.69,0.00%,,10/7/2010
10/8/2010,0,0.1,0.1,0,139.29,0.00%,,10/8/2010
10/9/2010,0,0.1,0.1,0.1,187.85,0.00%,,10/9/2010
10/10/2010,0,0.1,0.1,0.1,50.68,0.00%,,10/10/2010
10/11/2010,0,0.1,0.1,0.1,14.09,0.00%,,10/11/2010
10/12/2010,0,0.1,0.1,0.1,25.66,0.00%,,10/12/2010
10/13/2010,0,0.1,0.1,0.1,47.56,0.00%,,10/13/2010
