Date,Price,Open,High,Low,Vol.,Change ,RSI,Date2
1/1/2022,47738,46217.5,47917.6,46217.5,31.24,32900.00%,42.78890287,1/1/2022
1/2/2022,47312,47738.7,47944.9,46718.2,27.02,-8900.00%,40.28994793,1/2/2022
1/3/2022,46430,47293.9,47556,45704,41.06,-18600.00%,38.6553618,1/3/2022
1/4/2022,45837,46435.7,47505.4,45602.1,55.59,-12800.00%,32.82445811,1/4/2022
1/5/2022,43426,45833.1,47019.4,42535.1,83.74,-52600.00%,32.11473047,1/5/2022
1/6/2022,43098,43431.6,43772.3,42481.1,63.08,-7600.00%,28.92938859,1/6/2022
1/7/2022,41547,43097.9,43127.7,40810,88.36,-36000.00%,29.53598807,1/7/2022
1/8/2022,41672,41551.3,42304.4,40574.3,52.54,3000.00%,30.43627747,1/8/2022
1/9/2022,41848,41681.2,42764.4,41260.9,37.51,4200.00%,30.39825368,1/9/2022
1/10/2022,41832,41848.9,42243.8,39697,85.5,-400.00%,35.30007143,1/10/2022
1/11/2022,42733,41829.1,43090.2,41287.6,61.78,21500.00%,41.09188878,1/11/2022
1/12/2022,43901,42735,44243.6,42476.7,53.95,27300.00%,36.99694844,1/12/2022
1/13/2022,42560,43900,44404.7,42337.5,53.42,-30500.00%,39.48152685,1/13/2022
1/14/2022,43073,42562.2,43435.1,41848.7,50.5,12100.00%,39.60153082,1/14/2022
1/15/2022,43097,43073.6,43777.9,42586.1,31.44,600.00%,39.5382065,1/15/2022
1/16/2022,43079,43079.2,43462,42643.3,28.66,-400.00%,36.50022217,1/16/2022
1/17/2022,42209,43080.5,43179.6,41559.4,41.44,-20200.00%,37.42862044,1/17/2022
1/18/2022,42365,42209.9,42674.2,41300.7,47.32,3700.00%,35.00163448,1/18/2022
1/19/2022,41678,42365.3,42558,41160.9,53.77,-16200.00%,31.88390802,1/19/2022
1/20/2022,40716,41683.6,43487.1,40568.3,65.28,-23100.00%,22.40941972,1/20/2022
1/21/2022,36476,40698.1,41104.6,35503.9,155.8,-104100.00%,20.26643739,1/21/2022
1/22/2022,35075,36467.7,36749.8,34116,138.09,-38400.00%,26.70483453,1/22/2022
1/23/2022,36270,35072.9,36513,34655.2,70.43,34000.00%,28.85845896,1/23/2022
1/24/2022,36686,36268.6,37424,32985.6,153.77,11500.00%,30.26414394,1/24/2022
1/25/2022,36951,36691.3,37501.8,35729.3,79.68,7200.00%,29.90158823,1/25/2022
1/26/2022,36800,36962.3,38862.6,36280,107.87,-4100.00%,32.01587072,1/26/2022
1/27/2022,37164,36800.1,37215.4,35543.2,83.52,9900.00%,35.36683421,1/27/2022
1/28/2022,37745,37195.6,37995.9,36176.5,69.45,15600.00%,37.78816067,1/28/2022
1/29/2022,38171,37736.5,38663.7,37350.2,42.77,11300.00%,36.90392887,1/29/2022
1/30/2022,37918,38167.5,38313.3,37390.6,34.1,-6600.00%,40.35553189,1/30/2022
1/31/2022,38499,37923.8,38701.4,36672.8,61.27,15300.00%,41.60488739,1/31/2022
2/1/2022,38710,38475.6,39230,38037.9,55.2,5500.00%,34.82816011,2/1/2022
2/2/2022,36890,38711.2,38853.8,36682.3,53.74,-47000.00%,37.23575992,2/2/2022
2/3/2022,37288,36890.2,37304.3,36297.3,50.35,10800.00%,56.04217126,2/3/2022
2/4/2022,41568,37287.8,41689,37041.1,95.49,114800.00%,55.39069887,2/4/2022
2/5/2022,41412,41566.5,41899.8,40963.3,46.32,-3700.00%,58.64317704,2/5/2022
2/6/2022,42392,41411.9,42614.8,41176.3,31.2,23700.00%,62.92646115,2/6/2022
2/7/2022,43834,42385.2,44468.3,41695.4,76.6,34000.00%,63.50235723,2/7/2022
2/8/2022,44038,43833.9,45399.8,42705,92.88,4700.00%,64.52349088,2/8/2022
2/9/2022,44389,44038.2,44800.4,43163,50.92,8000.00%,60.04921846,2/9/2022
2/10/2022,43521,44388.9,45755.2,43242.5,89.69,-19600.00%,54.71572694,2/10/2022
2/11/2022,42388,43519.3,43915.1,42023.4,69.95,-26000.00%,53.8832657,2/11/2022
2/12/2022,42205,42388.4,43006.4,41776.8,37.88,-4300.00%,53.19740116,2/12/2022
2/13/2022,42061,42205.5,42725.1,41880.1,25.88,-3400.00%,55.27913722,2/13/2022
2/14/2022,42550,42061.1,42799.7,41591.3,53.6,11600.00%,62.58684267,2/14/2022
2/15/2022,44544,42550.3,44722.6,42460.1,56.34,46900.00%,59.14199295,2/15/2022
2/16/2022,43884,44540.9,44552.9,43377.6,41.4,-14800.00%,45.52327763,2/16/2022
2/17/2022,40553,43885.5,44167.1,40103.8,72.63,-75900.00%,43.72321564,2/17/2022
2/18/2022,40000,40532.5,40935.5,39505,64.96,-13600.00%,44.11054983,2/18/2022
2/19/2022,40090,40000.1,40434.3,39666.6,25.78,2300.00%,38.59566168,2/19/2022
2/20/2022,38355,40089.6,40120.3,38042.2,47.92,-43300.00%,34.96758477,2/20/2022
2/21/2022,37018,38355,39444.1,36868.9,91.82,-34900.00%,40.50814748,2/21/2022
2/22/2022,38248,37018.3,38414.9,36399.6,82.75,33200.00%,37.63614795,2/22/2022
2/23/2022,37225,38248.2,39194.5,37099.5,64.84,-26800.00%,42.42335872,2/23/2022
2/24/2022,38339,37250.2,39351.6,34357.4,180.47,29900.00%,45.91888749,2/24/2022
2/25/2022,39210,38339.2,39683.7,38042.6,83.78,22700.00%,45.59715223,2/25/2022
2/26/2022,39116,39221.6,40094.5,38639.1,41.55,-2400.00%,40.91088573,2/26/2022
2/27/2022,37689,39116.6,39838.5,37062.3,66.14,-36500.00%,58.57797546,2/27/2022
2/28/2022,43188,37707.2,43977.8,37458.9,108.07,145900.00%,61.36505584,2/28/2022
3/1/2022,44420,43187.2,44900.5,42876.6,90.67,28500.00%,59.5881675,3/1/2022
3/2/2022,43913,44420.3,45294.2,43361.3,80.82,-11400.00%,54.70903322,3/2/2022
3/3/2022,42463,43912.8,44077.2,41840.8,74.11,-33000.00%,45.5187687,3/3/2022
3/4/2022,39143,42463,42848.7,38594.9,3.21B,-78200.00%,46.25962972,3/4/2022
3/5/2022,39396,39142.8,39600.2,38626.1,1.50B,6500.00%,43.74523204,3/5/2022
3/6/2022,38403,39396.3,39668.1,38115,1.93B,-25200.00%,42.79173587,3/6/2022
3/7/2022,38025,38420.6,39532,37182.1,3.02B,-9900.00%,45.24010133,3/7/2022
3/8/2022,38745,38020.6,39351.5,37886.6,2.67B,18900.00%,54.51148371,3/8/2022
3/9/2022,41929,38731.5,42538.5,38663.3,3.60B,82200.00%,47.65371639,3/9/2022
3/10/2022,39416,41933.9,42029.1,38603.5,3.62B,-59900.00%,45.95415884,3/10/2022
3/11/2022,38730,39422.5,40177,38236.4,2.79B,-17400.00%,46.20714894,3/11/2022
3/12/2022,38814,38730.2,39355.3,38666.5,1.11B,2200.00%,43.536881,3/12/2022
3/13/2022,37792,38813.2,39272.3,37603.4,1.55B,-26300.00%,49.33412744,3/13/2022
3/14/2022,39671,37789.5,39914.3,37613.6,2.33B,49700.00%,48.24119433,3/14/2022
3/15/2022,39286,39673,39854.7,38220.9,2.25B,-9700.00%,53.52068763,3/15/2022
3/16/2022,41119,39282.5,41701.6,38953.2,4.47B,46700.00%,52.87428239,3/16/2022
3/17/2022,40915,41118.7,41406,40557.8,1.90B,-5000.00%,55.30505927,3/17/2022
3/18/2022,41768,40914.6,42308.4,40234.8,2.31B,20800.00%,56.61870494,3/18/2022
3/19/2022,42233,41768,42386,41529.6,224.59M,11100.00%,53.1559974,3/19/2022
3/20/2022,41276,42241,42301,40922,308.45M,-22700.00%,52.24275015,3/20/2022
3/21/2022,41022,41282,41532,40530,406.62M,-6200.00%,56.52150066,3/21/2022
3/22/2022,42373,41022,43327.9,40893,537.06M,32900.00%,58.13313388,3/22/2022
3/23/2022,42912,42373,43027,41795,433.96M,12700.00%,61.28960958,3/23/2022
3/24/2022,44013,42911,44251,42658,491.66M,25700.00%,62.17659624,3/24/2022
3/25/2022,44331,44013,45112,43622,494.09M,7200.00%,62.80294383,3/25/2022
3/26/2022,44548,44331,44818,44090,196.30M,4900.00%,68.73997138,3/26/2022
3/27/2022,46859,44542,46947,44445,388.79M,51900.00%,69.3016595,3/27/2022
3/28/2022,47105,46859,48199,46672,610.27M,5200.00%,70.11044496,3/28/2022
3/29/2022,47449,47126,48127,47029,478.82M,7300.00%,68.01244879,3/29/2022
3/30/2022,47075,47449,47714,46601,467.76M,-7900.00%,59.99914172,3/30/2022
