Date,Price,Open,High,Low,Vol.,Change ,RSI,Date2
1/1/2022,47738,46218,47918,46218,31.24,32900.00%,42.78890287,1/1/2022
1/2/2022,47312,47739,47945,46718,27.02,-8900.00%,40.28994793,1/2/2022
1/3/2022,46430,47294,47556,45704,41.06,-18600.00%,38.6553618,1/3/2022
1/4/2022,45837,46436,47505,45602,55.59,-12800.00%,32.82445811,1/4/2022
1/5/2022,43426,45833,47019,42535,83.74,-52600.00%,32.11473047,1/5/2022
1/6/2022,43098,43432,43772,42481,63.08,-7600.00%,28.92938859,1/6/2022
1/7/2022,41547,43098,43128,40810,88.36,-36000.00%,29.53598807,1/7/2022
1/8/2022,41672,41551,42304,40574,52.54,3000.00%,30.43627747,1/8/2022
1/9/2022,41848,41681,42764,41261,37.51,4200.00%,30.39825368,1/9/2022
1/10/2022,41832,41849,42244,39697,85.5,-400.00%,35.30007143,1/10/2022
1/11/2022,42733,41829,43090,41288,61.78,21500.00%,41.09188878,1/11/2022
1/12/2022,43901,42735,44244,42477,53.95,27300.00%,36.99694844,1/12/2022
1/13/2022,42560,43900,44405,42338,53.42,-30500.00%,39.48152685,1/13/2022
1/14/2022,43073,42562,43435,41849,50.5,12100.00%,39.60153082,1/14/2022
1/15/2022,43097,43074,43778,42586,31.44,600.00%,39.5382065,1/15/2022
1/16/2022,43079,43079,43462,42643,28.66,-400.00%,36.50022217,1/16/2022
1/17/2022,42209,43081,43180,41559,41.44,-20200.00%,37.42862044,1/17/2022
1/18/2022,42365,42210,42674,41301,47.32,3700.00%,35.00163448,1/18/2022
1/19/2022,41678,42365,42558,41161,53.77,-16200.00%,31.88390802,1/19/2022
1/20/2022,40716,41684,43487,40568,65.28,-23100.00%,22.40941972,1/20/2022
1/21/2022,36476,40698,41105,35504,155.8,-104100.00%,20.26643739,1/21/2022
1/22/2022,35075,36468,36750,34116,138.09,-38400.00%,26.70483453,1/22/2022
1/23/2022,36270,35073,36513,34655,70.43,34000.00%,28.85845896,1/23/2022
1/24/2022,36686,36269,37424,32986,153.77,11500.00%,30.26414394,1/24/2022
1/25/2022,36951,36691,37502,35729,79.68,7200.00%,29.90158823,1/25/2022
1/26/2022,36800,36962,38863,36280,107.87,-4100.00%,32.01587072,1/26/2022
1/27/2022,37164,36800,37215,35543,83.52,9900.00%,35.36683421,1/27/2022
1/28/2022,37745,37196,37996,36177,69.45,15600.00%,37.78816067,1/28/2022
1/29/2022,38171,37737,38664,37350,42.77,11300.00%,36.90392887,1/29/2022
1/30/2022,37918,38168,38313,37391,34.1,-6600.00%,40.35553189,1/30/2022
1/31/2022,38499,37924,38701,36673,61.27,15300.00%,41.60488739,1/31/2022
2/1/2022,38710,38476,39230,38038,55.2,5500.00%,34.82816011,2/1/2022
2/2/2022,36890,38711,38854,36682,53.74,-47000.00%,37.23575992,2/2/2022
2/3/2022,37288,36890,37304,36297,50.35,10800.00%,56.04217126,2/3/2022
2/4/2022,41568,37288,41689,37041,95.49,114800.00%,55.39069887,2/4/2022
2/5/2022,41412,41567,41900,40963,46.32,-3700.00%,58.64317704,2/5/2022
2/6/2022,42392,41412,42615,41176,31.2,23700.00%,62.92646115,2/6/2022
2/7/2022,43834,42385,44468,41695,76.6,34000.00%,63.50235723,2/7/2022
2/8/2022,44038,43834,45400,42705,92.88,4700.00%,64.52349088,2/8/2022
2/9/2022,44389,44038,44800,43163,50.92,8000.00%,60.04921846,2/9/2022
2/10/2022,43521,44389,45755,43243,89.69,-19600.00%,54.71572694,2/10/2022
2/11/2022,42388,43519,43915,42023,69.95,-26000.00%,53.8832657,2/11/2022
2/12/2022,42205,42388,43006,41777,37.88,-4300.00%,53.19740116,2/12/2022
2/13/2022,42061,42206,42725,41880,25.88,-3400.00%,55.27913722,2/13/2022
2/14/2022,42550,42061,42800,41591,53.6,11600.00%,62.58684267,2/14/2022
2/15/2022,44544,42550,44723,42460,56.34,46900.00%,59.14199295,2/15/2022
2/16/2022,43884,44541,44553,43378,41.4,-14800.00%,45.52327763,2/16/2022
2/17/2022,40553,43886,44167,40104,72.63,-75900.00%,43.72321564,2/17/2022
2/18/2022,40000,40533,40936,39505,64.96,-13600.00%,44.11054983,2/18/2022
