Date,Price,Open,High,Low,Vol,VolM,Change,updown
12/19/2023,42896,42659.7,43473.3,42576.5,634.8,63.48,0.55,1
12/18/2023,42659.7,41369.1,42728,40554,615.8,61.58,3.12,1
12/17/2023,41368.7,42271.7,42413.2,41276.9,354.6,35.46,-2.14,0
12/16/2023,42271.7,41929,42690.3,41698.2,301.1,30.11,0.82,1
12/15/2023,41929,43025.2,43080.7,41697.9,452.8,45.28,-2.55,0
12/14/2023,43025.9,42886.3,43392.7,41591.2,591.5,59.15,0.33,1
12/13/2023,42884.5,41487,43417.5,40649.3,631.1,63.11,3.37,1
12/12/2023,41487,41256.1,42070.9,40691.5,570.4,57.04,0.56,1
12/11/2023,41256.1,43791,43806.3,40277.1,1051.9,105.19,-5.79,0
12/10/2023,43791,43716.6,44045.4,43576.8,238.1,23.81,0.17,1
12/9/2023,43718.4,44175.5,44361.2,43617.4,316.7,31.67,-1.03,0
12/8/2023,44175.5,43288.3,44697.6,43108.4,584.4,58.44,2.05,1
12/7/2023,43289.7,43774.4,44046.4,42860.5,630.9,63.09,-1.11,0
12/6/2023,43776.3,44076.2,44283.7,43466.7,725.2,72.52,-0.68,0
12/5/2023,44076.2,41989.6,44424.1,41424.9,968.4,96.84,4.97,1
12/4/2023,41987.8,39968.6,42394.4,39968.6,1042.1,104.21,5.05,1
12/3/2023,39970.2,39456.8,40178.9,39280.3,352.7,35.27,1.3,1
12/2/2023,39458.4,38688.2,39673.4,38646.5,370.9,37.09,1.99,1
12/1/2023,38688.2,37712.9,38950.8,37618.3,625,62.5,2.59,1
11/30/2023,37712.9,37857.6,38144.4,37509.2,335.3,33.53,-0.38,0
11/29/2023,37855.5,37823.3,38362.9,37607.6,493.4,49.34,0.09,1
11/28/2023,37823.3,37244.3,38379.4,36881.1,575,57.5,1.54,1
11/27/2023,37248.6,37451.8,37563.3,36751.5,452.4,45.24,-0.54,0
11/26/2023,37451.8,37786.4,37819.1,37166.3,292,29.2,-0.89,0
11/25/2023,37787,37718.6,37887.4,37599.9,160.9,16.09,0.18,1
11/24/2023,37717.3,37295,38400.8,37257.4,658.3,65.83,1.14,1
