Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
fardinc.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
buy.safar724.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
kamanmarket.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
mail.dahiteb.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
rizsmd.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mysatrap.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
geo.bizna.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
atharazmoon.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
gapnashr.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
banezagros.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
stu.shahroodut.ac.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sahamshm.sbs,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
pasict.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.1abc.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
nasimbaharhoney.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
nilicenter.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
10b7f3f3-df86-4800-acd2-76e8e97e5daa.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
irih.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
downloadmall.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
pay.aasood.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
aryalogo.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
karko.info,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sadafard.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ardebil.jdereg.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ieschool.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bdee290b-daa1-402b-aac7-0164ed48814e.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
skylandart.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.sanayepishro.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
chistashop.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
varnasandal.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
pooshakmahan.sabzgostar.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
vitasib.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
baziamouz.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
yaghootsafar.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
absham.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
dushta.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mygila.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
termehshop.sabzgostar.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
downloadly.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
reissicloud.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
janebimarket.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
daneshbonyan.cero.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
api.chobkaran.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mrintex.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
e1f84dcf-e260-421c-8785-253cc98cf269.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ipg.mobinnet.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
semnan.iau.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
speedy-client.staging.megadevs.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.donergarden.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bimedaan.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
directpayment 200 118,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
dorjio.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
asiamod.eshopfa.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
everyshop.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
asoa.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sah-xp.itsaol.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
samab.yzrw.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
2charge.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
lamerd.sutech.ac.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
aradgasht.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
pet-land.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
astara-espinas-hotel.iibooking.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
drdastani.ziteb.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.danesh.jdisf.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.imen-kara.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
file14.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
7roz.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
psnfund.irasam.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
cpshop.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
4ae53a12-6ccc-4be1-b602-f4ccc8d021a3.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
khaterateziba.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mohipub.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
artisgallery1.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
maralfly.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sinarium.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
star-file.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sabafund.irasam.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
amozegara.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.ejens.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
panel.paziresh24.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
khoosheonline.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mihaninsurance.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
fanapxrm.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
hris.behdasht.gov.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.google.ie,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bimeforouzande.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
beta-panel.mediaad.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
kohanparto.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
javahermall.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
inestamarket.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
ed.edsme.click,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
parmopet.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
afzarkimia.shirazip.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
portal.bpj.iau.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
fly11.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bazi-resan.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ketabcity.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
abzarparto.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mobinnet.services,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
akamtire.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
miniature.io,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
payment 200 213,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
koodyar.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
shatialhindiaco.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sunycharter.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
sahami.sjmek.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
api.sibapp.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
rah-yadak.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
homearay.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
portal.lyda.xyz,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
buych.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ed.shmirb.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mayadekor.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
safiranarameshhiva.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
liantech.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
aniyapakhsh.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
taranom.xyz,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
chapardaru.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
94b59976-fd8e-4c70-b54b-aa399f09879b.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
arshia365.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
leenali.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
edallt.pegle.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
aloghelyon.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.irankeshavarzi.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
adlf.lflinkup.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
birjand.postsam.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
imenkosta.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
persiantools.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.irtextbook.com sadad.shaparak.ir 200 0 0 2549 1303,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
homaghsoudi.4kia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
filterbeyrami.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
mitechiran.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
1xchange.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
www.google.com sadad.shaparak.ir 200 0 0 48735 421 1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
shivabehpour.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
nexportall-eblugieh-ir.cloud,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
amozsh20.4kia.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
giahine.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
esamikala.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
45e6b32d-c542-4f4c-acf6-b0898fcbb24f.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
coachmall.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
ghalikhane.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
bas24.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
shahrekalla.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
salamat313.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
khayyamteb.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
