Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
fardinc.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
buy.safar724.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
kamanmarket.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1
mail.dahiteb.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
rizsmd.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
mysatrap.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
geo.bizna.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
atharazmoon.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
gapnashr.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
banezagros.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
stu.shahroodut.ac.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
sahamshm.sbs,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
pasict.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
www.1abc.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
nasimbaharhoney.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
nilicenter.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
10b7f3f3-df86-4800-acd2-76e8e97e5daa.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
irih.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
downloadmall.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
pay.aasood.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
aryalogo.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
karko.info,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
sadafard.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
ardebil.jdereg.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
ieschool.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
bdee290b-daa1-402b-aac7-0164ed48814e.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
skylandart.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
www.sanayepishro.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
chistashop.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
varnasandal.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
pooshakmahan.sabzgostar.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
vitasib.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
baziamouz.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
yaghootsafar.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
absham.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
dushta.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
mygila.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
termehshop.sabzgostar.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
downloadly.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
reissicloud.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
janebimarket.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1
daneshbonyan.cero.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
api.chobkaran.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
mrintex.com,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1
e1f84dcf-e260-421c-8785-253cc98cf269.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
ipg.mobinnet.net,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
semnan.iau.ir,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
speedy-client.staging.megadevs.org,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
www.donergarden.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
bimedaan.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
